task_type_id,task_type_name,block_idx,group_idx,event_no,begin_ts,end_ts,duration_ns
257,TASK_ATTN_SM100,100,0,51,2524594016,2524609696,15680
154,TASK_RMS_NORM_HOPPER,101,0,51,2524573952,2524577120,3168
251,TASK_SPLITK_LINEAR_SM100,102,0,51,2524494112,2524504640,10528
253,TASK_LINEAR_SM100,103,0,51,2524510656,2524547584,36928
251,TASK_SPLITK_LINEAR_SM100,104,0,51,2524611360,2524621088,9728
253,TASK_LINEAR_SM100,105,0,51,2524460288,2524474816,14528
118,TASK_SILU_MUL,106,0,51,2524662592,2524664736,2144
251,TASK_SPLITK_LINEAR_SM100,107,0,51,2524610944,2524621120,10176
251,TASK_SPLITK_LINEAR_SM100,108,0,51,2524435872,2524454656,18784
251,TASK_SPLITK_LINEAR_SM100,109,0,51,2524494368,2524504640,10272
253,TASK_LINEAR_SM100,110,0,51,2524578304,2524592416,14112
201,TASK_SCHD_EVENTS,111,0,51,2524622208,2524622496,288
251,TASK_SPLITK_LINEAR_SM100,112,0,51,2524435872,2524454656,18784
253,TASK_LINEAR_SM100,113,0,51,2524626112,2524659360,33248
251,TASK_SPLITK_LINEAR_SM100,114,0,51,2524552704,2524570944,18240
251,TASK_SPLITK_LINEAR_SM100,115,0,51,2524610976,2524621088,10112
251,TASK_SPLITK_LINEAR_SM100,116,0,51,2524552704,2524570944,18240
201,TASK_SCHD_EVENTS,117,0,51,2524548480,2524548736,256
253,TASK_LINEAR_SM100,118,0,51,2524578336,2524592672,14336
251,TASK_SPLITK_LINEAR_SM100,119,0,51,2524494368,2524504640,10272
201,TASK_SCHD_EVENTS,120,0,51,2524660960,2524661184,224
253,TASK_LINEAR_SM100,121,0,51,2524626112,2524659360,33248
251,TASK_SPLITK_LINEAR_SM100,122,0,51,2524494368,2524504800,10432
201,TASK_SCHD_EVENTS,123,0,51,2524662272,2524662528,256
251,TASK_SPLITK_LINEAR_SM100,124,0,51,2524552736,2524570784,18048
253,TASK_LINEAR_SM100,125,0,51,2524578400,2524592512,14112
253,TASK_LINEAR_SM100,126,0,51,2524578304,2524592672,14368
251,TASK_SPLITK_LINEAR_SM100,127,0,51,2524552704,2524570784,18080
251,TASK_SPLITK_LINEAR_SM100,0,0,52,2524611104,2524620928,9824
253,TASK_LINEAR_SM100,1,0,52,2524460224,2524475168,14944
253,TASK_LINEAR_SM100,2,0,52,2524510656,2524546880,36224
201,TASK_SCHD_EVENTS,3,0,52,2524432096,2524432352,256
253,TASK_LINEAR_SM100,4,0,52,2524578368,2524592640,14272
251,TASK_SPLITK_LINEAR_SM100,5,0,52,2524552480,2524570720,18240
251,TASK_SPLITK_LINEAR_SM100,6,0,52,2524611104,2524620928,9824
251,TASK_SPLITK_LINEAR_SM100,7,0,52,2524610944,2524620896,9952
253,TASK_LINEAR_SM100,8,0,52,2524460256,2524475168,14912
253,TASK_LINEAR_SM100,9,0,52,2524578272,2524592800,14528
251,TASK_SPLITK_LINEAR_SM100,10,0,52,2524610944,2524620704,9760
253,TASK_LINEAR_SM100,11,0,52,2524626112,2524659392,33280
253,TASK_LINEAR_SM100,12,0,52,2524578336,2524592768,14432
251,TASK_SPLITK_LINEAR_SM100,13,0,52,2524552480,2524570624,18144
253,TASK_LINEAR_SM100,14,0,52,2524578336,2524592608,14272
251,TASK_SPLITK_LINEAR_SM100,15,0,52,2524610944,2524620992,10048
253,TASK_LINEAR_SM100,16,0,52,2524396992,2524429600,32608
251,TASK_SPLITK_LINEAR_SM100,17,0,52,2524610944,2524620704,9760
251,TASK_SPLITK_LINEAR_SM100,18,0,52,2524494144,2524504576,10432
253,TASK_LINEAR_SM100,19,0,52,2524578208,2524592832,14624
251,TASK_SPLITK_LINEAR_SM100,20,0,52,2524552288,2524570912,18624
251,TASK_SPLITK_LINEAR_SM100,21,0,52,2524610944,2524620896,9952
253,TASK_LINEAR_SM100,22,0,52,2524510624,2524545760,35136
201,TASK_SCHD_EVENTS,23,0,52,2524546592,2524546976,384
253,TASK_LINEAR_SM100,24,0,52,2524626208,2524659808,33600
253,TASK_LINEAR_SM100,25,0,52,2524626272,2524661856,35584
201,TASK_SCHD_EVENTS,26,0,52,2524548544,2524548800,256
253,TASK_LINEAR_SM100,27,0,52,2524578400,2524592800,14400
